ID,Latitude,Longitude,TelemDate,AID,Attribute
96,41.82177,-108.99409,3/29/2015 18:31,Jet,Winter range
97,41.82127,-108.99713,3/29/2015 21:16,Jet,Winter range
98,41.82165,-108.99738,3/29/2015 23:46,Jet,Winter range
99,41.82181,-108.9935,3/30/2015 2:31,Jet,Winter range
100,41.82182,-108.99176,3/30/2015 5:16,Jet,Winter range
101,41.82061,-108.98509,3/30/2015 8:00,Jet,Winter range
102,41.82025,-108.98227,3/30/2015 10:46,Jet,Winter range
103,41.82072,-108.98387,3/30/2015 13:31,Jet,Winter range
104,41.80826,-108.98657,3/30/2015 16:16,Jet,Winter range
105,41.80778,-108.99862,3/30/2015 19:01,Jet,Winter range
106,41.80754,-108.99219,3/30/2015 21:46,Jet,Winter range
107,41.81071,-108.99521,3/30/2015 23:45,Jet,Winter range
108,41.81673,-108.99652,3/31/2015 3:01,Jet,Winter range
109,41.82141,-108.99797,3/31/2015 5:46,Jet,Winter range
110,41.81434,-108.98579,3/31/2015 8:30,Jet,Winter range
111,41.8134,-108.98339,3/31/2015 11:16,Jet,Winter range
112,41.81195,-108.9878,3/31/2015 14:01,Jet,Winter range
113,41.81007,-108.98487,3/31/2015 16:46,Jet,Winter range
114,41.80851,-108.98784,3/31/2015 19:31,Jet,Winter range
115,41.8099,-108.98769,3/31/2015 22:16,Jet,Winter range
116,41.81064,-108.98854,3/31/2015 23:45,Jet,Winter range
117,41.81057,-108.98854,4/1/2015 0:00,Jet,Winter range
118,41.81019,-108.98793,4/1/2015 2:46,Jet,Winter range
119,41.81031,-108.99015,4/1/2015 5:31,Jet,Winter range
120,41.80712,-108.98571,4/1/2015 8:15,Jet,Winter range
121,41.8063,-108.98612,4/1/2015 11:01,Jet,Winter range
122,41.80405,-108.98455,4/1/2015 13:46,Jet,Winter range
123,41.80369,-108.98586,4/1/2015 16:31,Jet,Winter range
124,41.80097,-108.98484,4/1/2015 19:16,Jet,Winter range
125,41.80106,-108.9838,4/1/2015 22:01,Jet,Winter range
126,41.80499,-108.98387,4/2/2015 0:31,Jet,Winter range
127,41.80459,-108.9851,4/2/2015 3:16,Jet,Winter range
128,41.81174,-108.98724,4/2/2015 6:01,Jet,Winter range
129,41.81278,-108.99143,4/2/2015 8:46,Jet,Winter range
130,41.81192,-108.98778,4/2/2015 11:31,Jet,Winter range
131,41.81581,-108.98425,4/2/2015 14:16,Jet,Winter range
132,41.81554,-108.98548,4/2/2015 17:01,Jet,Winter range
133,41.81235,-108.99528,4/2/2015 19:46,Jet,Winter range
134,41.81163,-108.99549,4/2/2015 22:31,Jet,Winter range
135,41.81296,-108.99359,4/3/2015 1:00,Jet,Winter range
136,41.81311,-108.9932,4/3/2015 3:46,Jet,Winter range
